commit_hash,author,date,message,file_name,lines_added,lines_deleted,nloc,is_bug_fix
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,initial checkin of stuff that exists so far.,apishowcase.py,30,0,16.0,0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,initial checkin of stuff that exists so far.,minitwit.py,228,0,172.0,0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,2010-04-06 13:12:57+02:00,initial checkin of stuff that exists so far.,flask.py,356,0,185.0,0
b15ad394279fc3b7f998fa56857f334a7c0156f6,Armin Ronacher,2010-04-06 13:23:18+02:00,added setup.py and readme,setup.py,19,0,17.0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"started working on documentation.

so far just the stable parts :)",conf.py,236,0,19.0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"started working on documentation.

so far just the stable parts :)",minitwit.py,1,1,172.0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,2010-04-06 16:02:14+02:00,"started working on documentation.

so far just the stable parts :)",flask.py,119,8,185.0,0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,2010-04-08 19:03:15+02:00,"improved documentation, added a contextmanager for request binding",conf.py,6,1,23.0,0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,2010-04-08 19:03:15+02:00,"improved documentation, added a contextmanager for request binding",minitwit.py,2,2,172.0,0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,2010-04-08 19:03:15+02:00,"improved documentation, added a contextmanager for request binding",flask.py,38,23,186.0,0
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,2010-04-09 01:32:39+02:00,updated documentation.  starting to look pretty good,minitwit.py,3,3,172.0,0
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,2010-04-09 01:32:39+02:00,updated documentation.  starting to look pretty good,flask.py,16,1,187.0,0
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,2010-04-09 13:40:05+02:00,and finished documentation for most parts.,minitwit.py,1,1,172.0,0
7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a,Armin Ronacher,2010-04-09 13:56:47+02:00,documented non-decorator uses of registation.,flask.py,31,5,188.0,0
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"added docs, fixed some bugs i introduced last commit",conf.py,10,6,30.0,1
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"added docs, fixed some bugs i introduced last commit",flaskext.py,96,0,76.0,1
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,2010-04-10 15:49:15+02:00,"added docs, fixed some bugs i introduced last commit",flask.py,4,4,188.0,1
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,2010-04-11 02:20:10+02:00,heavily improved documentation,flaskext.py,5,15,68.0,0
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,2010-04-11 02:20:10+02:00,heavily improved documentation,flask.py,72,1,188.0,0
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,Armin Ronacher,2010-04-11 02:42:13+02:00,fixed a doc display bug and setup.py workaround for dev version.,setup.py,4,3,15.0,1
574e81f9c8bbdc41958e1e7a7613633b091101f8,Armin Ronacher,2010-04-11 02:46:44+02:00,fixed a bug in setup.py,setup.py,1,1,15.0,1
03168a5d53457fdb8676a4ac9fca0f76a23c6852,Armin Ronacher,2010-04-11 17:58:45+02:00,removed the useless apishowcase example,minitwit.py,30,8,173.0,0
f2dc38cda61f76c64b97ab9f730accc986a4b188,Armin Ronacher,2010-04-11 18:45:06+02:00,added tests for minitwit.  testing with flask is awesome,minitwit.py,1,1,173.0,0
f2dc38cda61f76c64b97ab9f730accc986a4b188,Armin Ronacher,2010-04-11 18:45:06+02:00,added tests for minitwit.  testing with flask is awesome,minitwit_tests.py,145,0,97.0,0
f2dc38cda61f76c64b97ab9f730accc986a4b188,Armin Ronacher,2010-04-11 18:45:06+02:00,added tests for minitwit.  testing with flask is awesome,flask.py,2,3,187.0,0
ef524f2cfd65377b3b9ce896e7a710472b13c0f6,Armin Ronacher,2010-04-11 18:47:32+02:00,no need for the closing import,minitwit_tests.py,0,1,96.0,0
03148dba6b26a2694da1d466584f50189c52e7b3,Armin Ronacher,2010-04-11 19:18:40+02:00,added testing documentation,flask.py,24,12,187.0,0
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,Armin Ronacher,2010-04-12 00:14:59+02:00,doc updates and typo fixes,minitwit.py,9,9,173.0,1
a01e8b49ca66608f0bd46134ff02deeb5724c799,Armin Ronacher,2010-04-12 19:52:18+02:00,fixed a documentation error and implemented template context processors.,flask.py,28,4,197.0,1
de03143f6ecf9a36dd32f16f07309c64d4de03b0,Armin Ronacher,2010-04-12 20:19:16+02:00,added some basic tests for flask itself,flask_tests.py,74,0,53.0,0
4affedec356ad8c9e6a107578f03fc7f5c615064,Armin Ronacher,2010-04-12 20:39:52+02:00,testing url generation,flask_tests.py,8,0,60.0,0
959b5df00431c436474c5abca304e631c0de7721,Armin Ronacher,2010-04-13 01:08:52+02:00,flask can depend on jinja2 and werkzeug now that they are relased.,setup.py,2,3,17.0,0
08f1f0dc32004fae01cf96d1eed84e6461e698e5,Armin Ronacher,2010-04-14 02:42:12+02:00,added more flask tests,flask_tests.py,179,0,148.0,0
ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,Armin Ronacher,2010-04-14 14:11:00+02:00,"static files are active in the wsgi app now, not just the server.",flask.py,5,5,197.0,0
ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,Armin Ronacher,2010-04-14 14:11:00+02:00,"static files are active in the wsgi app now, not just the server.",flask_tests.py,9,0,156.0,0
2d9bb692728fd76b19e467499caa4f5fcb07aede,Armin Ronacher,2010-04-14 15:16:38+02:00,flask now runs without the presence of pkg_resources as well.,flask.py,24,3,211.0,0
c33675f0251071ea47ce166b81ce8c637842f091,Armin Ronacher,2010-04-14 16:44:29+02:00,"added mini blogging application as flask example.

this should become the tutorial.",flaskr.py,103,0,64.0,0
c33675f0251071ea47ce166b81ce8c637842f091,Armin Ronacher,2010-04-14 16:44:29+02:00,"added mini blogging application as flask example.

this should become the tutorial.",flaskr_tests.py,64,0,39.0,0
fc94599285aa1aec50b3c9426697249e55edda0a,Armin Ronacher,2010-04-14 16:47:53+02:00,removed useless imports and added readme,flaskr.py,0,2,62.0,0
1d8432ebfd1637eacab79a15e9b7963bf061371c,Armin Ronacher,2010-04-14 17:08:38+02:00,can't believe i forgot that future import.,flask.py,1,0,212.0,0
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,Armin Ronacher,2010-04-15 02:21:46+02:00,first part of the tutorial.  many explanations missing but it's a start.,flaskr.py,2,5,61.0,0
6dd92ae4b32c336564231e10db12458a8b9261ca,Armin Ronacher,2010-04-16 02:03:45+02:00,beefed up the tutorial,flaskr_tests.py,5,3,40.0,0
40e0024d7b87150ed694829a5335bd2435962225,Armin Ronacher,2010-04-16 02:14:54+02:00,"added screenshot of the debugger to flask docs.  flask now runs from the
shell again.",flask.py,9,2,216.0,1
7b5015010bc8c2a2d56c7c50b37e5b9facdad102,Armin Ronacher,2010-04-16 02:27:37+02:00,"preserve the request context in debug mode.

this makes it possible to access request information in the interactive
debugger.  closes #8.",flask.py,11,7,215.0,1
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,Armin Ronacher,2010-04-16 11:03:16+02:00,"request_init -> before_request and request_shutdown -> after_request

this fixes #9.",flaskr.py,2,2,61.0,1
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,Armin Ronacher,2010-04-16 11:03:16+02:00,"request_init -> before_request and request_shutdown -> after_request

this fixes #9.",minitwit.py,2,2,173.0,1
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,Armin Ronacher,2010-04-16 11:03:16+02:00,"request_init -> before_request and request_shutdown -> after_request

this fixes #9.",flask.py,13,12,215.0,1
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,Armin Ronacher,2010-04-16 11:03:16+02:00,"request_init -> before_request and request_shutdown -> after_request

this fixes #9.",flask_tests.py,2,2,156.0,1
6d556acb3fcaa6eeff4bda8cf704ad5f0cf5b5ac,Armin Ronacher,2010-04-16 13:42:47+02:00,"added coming soon to parts of the docs, linked scoped_session",conf.py,2,1,31.0,0
0bb8b4f9a1c61fcf473e5ca7a10cc3ed4f30766f,Armin Ronacher,2010-04-16 14:24:12+02:00,beefed up setup.py,setup.py,50,0,28.0,0
9fbf9a062c11904b5022a5aa7941449e31340c32,Armin Ronacher,2010-04-16 14:32:59+02:00,head is 0.2-dev,setup.py,1,1,28.0,0
